job_id,title
4629809,Младший сервисный инженер
4298754,Менеджер по продажам
4537072,Менеджер по работе с клиентами
4608245,Керівник напрямку з розвитку страхових продуктів (роздріб)
4570259,"Провізор, фармацевт (залізничний вокзал ""Дарниця"")"
4620191,Руководитель отдела аналитики
4641754,Продавец-консультант
2946495,Фрезеровщик-универсал
4619459,Оператор упаковки
4565144,Sales manager
4525851,Продавець-консультант техніки (ТРЦ Retroville)
4525851,Продавець-консультант техніки (ТРЦ Retroville)
4630356,Директор магазину цифрової техніки
3575362,Сборщик каркасов в диванный цех в Вишневое
4607836,"HR business partner (напрямок ""Комерція"")"
4631515,Представник по роботі з аптеками
4583486,Монтажник меблів
4199664,Transportation Manager
3963691,Руководитель отдела взыскания (МФО)
4641599,Менеджер з обробки зображень (студент)
3812803,Водій
1132841,"Мастер маникюра, педикюра (ст. м. Дарница)"
4641584,Менеджер з персоналу (кадрове адміністрування)
4533668,Помощник таможенного брокера (Жуляны)
4641578,Менеджер по сопровождению продаж
4641577,"DevOps FreeBSD, Linux, Unix System Administrator"
4641574,Торговый представитель (продажа лакокрасочных материалов) c авто
4641568,Junior Account Manager (PSP)
4641552,Продавець-консультант
4641547,Бармен у Київ
4641543,HR generalist
4641537,Офіціант у Київ
4641534,Project-менеджер (архітектура)
4641252,Direct-менеджер
4641464,Call Center Representative
3792173,Охранник торгового центра
4641457,Customer Support Representative
4211384,Помічник менеджера з продажу
4219453,Продавець-консультант цифрової техніки
4641433,"Online Researcher, Talent Sourcer, Recruiter Assistant"
3738610,Продавец-консультант магазина
4641388,QA support specialist
4641378,Recruiter
4508940,Менеджер по беззалоговому кредитованию (Титова-Кирова)
3528098,Обвалювальник м'яса
2901707,Бариста
4606644,"Продавец-консультант, мерчендайзер, представитель поставщика"
4641315,Кладовщик
4469787,"Продавець-консультант техніки (ТРЦ ""Район"")"
3557516,PHP Developer
4547349,Продавець-касир
3952719,"Менеджер з продажу, call manager, по работе с клиентами"
4500841,"Продавець ювелірних виробів (ТЦ ""Караван"")"
4514102,"Sales Forecast, Cluster Insight Analyst"
4515984,Бухгалтер
3772109,Бухгалтер
4641201,Фінансовий менеджер
4461862,Руководитель тендерного отдела
4629139,Водитель погрузчика (с. Колонщина)
4585063,SQL developer (MSSQL/PostgreSQL)
4641147,Вантажник
4276513,Менеджер ЗЕД (експорт)
4556331,Медичний представник
4556360,Медичний представник
4441693,Email marketing specialist
4442707,Администратор YouTube-каналов
4175345,Оператор контакт-центру
3027798,Торговый представитель с авто
4640954,"Кур'єр, велокур'єр (Печерський р-н, Гусовського, Видубичі, Басейна, Кловська)"
4640950,Менеджер з транспортної логістики (кур'єрська доставка)
4640942,Заступник начальника відділу логістики
4640936,Працівник закладу ресторанного господарства
4548357,Менеджер по продажам услуг технической поддержки
4555189,Менеджер з обробки зображень
4640903,Кредитний консультант
4394314,"Бухгалтер (ПДВ, декретна посада)"
4640892,Менеджер з продажу
4640881,Менеджер по продажам (call-центр)
3128291,Контент-менеджер
4640853,Менеджер з direct-комунікацій
3575129,Інженер з механізації та автоматизації обладнання
4598203,"Медична сестра, оптометрист (з навчанням)"
4640795,Економіст з планування у Бровари
4627236,Провідний менеджер ломбардних відділень
4640776,SMM-менеджер
4640769,"Buying, Sales Manager for European Market"
4640753,Керівник відділу маркетингу
3372125,Менеджер інтернет-магазину
1801594,"Менеджер по работе с клиентами, врач-координатор (страхование, медицина)"
4640690,Менеджер по продаже автомобилей
4583702,Менеджер по продажам
4640669,Специалист по тендерным закупкам
4546235,Помощник руководителя
2945254,Менеджер ресторану
3460507,Повар-сушист
4490414,Продавець-консультант
1832801,Оператор call-центра
4598042,Менеджер по персоналу
4315379,Стилист-консультант в бутик B﻿asemnt
4606112,Главный бухгалтер (единственный)
4640590,Главный инженер проекта (служба заказчика)
4640587,"Продавец-консультант (ТЦ ""Конкорд"")"
4547870,Главный бухгалтер
4573127,Front-end developer
4593470,HR-менеджер
2868354,Бухгалтер по первичной документации
4640536,Продавець-консультант (ст. м. Либідська)
4588901,Управляющий магазином (Голосеевский р-н)
4429644,Продавец-кассир (Соломенський район)
2646159,"Помощник гравировщика, гравировщик, тиснильщик"
4640512,Менеджер по продажам
4219634,"Кур'єр зі своїм скутером, мото, самокатом (доставка піци)"
3904824,Менеджер по продаже недвижимости в новостройке
3225463,Старший бариста (The blue cup coffee shop)
4257773,Помощница продавца в рыбный магазин (Конный рынок)
4211563,Менеджер по продажам (польский язык)
3764860,Менеджер із закупівель
4426726,Продавець-касир
4640383,HR-менеджер (международная компания по трудоустройству за границу)
3592943,Логист в отдел курьерской доставки
4640323,Бізнес-аналітик
4472582,Бухгалтер по зарплате
2821115,Администратор ресторана в Ирпень
4373145,Менеджер по продажам в call-центр
4395094,Менеджер по продажам (международная логистика)
4484945,Copywriter
4640249,Продавець-консультант мобільних телефонів та аксесуарів
4640247,"Продавець-консультант (ТРЦ ""Аладдін"")"
3932976,Продавець-консультант техніки Apple
4640207,Java developer
4640194,Менеджер із закупівель
4640192,Senior Front-end Developer
4640179,Продавец-консультант (зоотовары)
3172453,"Менеджер з управління товарним запасом, товарознавець"
1010059,"Менеджер по продажам, риелтор (ст. м. Площадь Независимости)"
3603478,Кассир
2571144,"Sysadmin Linux (Support, HelpDesk)"
4417416,Сборщик корпусной мебели
4640114,Продавець-касир (ТРЦ Globus)
3764316,"Менеджер по работе с клиентами, риелтор"
4353296,Продавець-консультант (речовий ринок)
4586207,"Торговый представитель с авто (область, зоотовары)"
3924292,Метролог
4627682,"Комплектувальник товарів (ст. м. Лісова, Деснянський район)"
4640056,Столяр
4640055,Помощник руководителя в производственный отдел
4640047,Кладовщик-комплектовщик (Виноградарь)
3910936,Установщик мебели
3785055,Оператор колл-центра
4639890,Бухгалтер товарного обліку
4441322,Механік на СТО тракторів та с/г техники
4628223,Менеджер по роботі з клієнтами
4639875,Продавець-консультант техніки Apple
4627533,Customer Support Chat manager со знанием английского (IT)
4507678,Customer Support Chat manager (IT)
4459248,"Менеджер клиентской поддержки (ночная смена, IT)"
4343587,"Менеджер клиентской поддержки (ночная смена, IT)"
4343584,"Customer support specialist со знанием английского (ночная смена, IT)"
4296337,Customer Support Chat manager (IT)
4296333,Customer Support Chat manager со знанием английского (IT)
2196449,"Менеджер клиентской поддержки (ночная смена, IT)"
4222334,HR-менеджер
4485918,Продавець-консультант в магазин
4639856,Медсестра
4639849,"Оператор ПК, 1С (правый берег)"
4639842,Помощник руководителя
4639840,"Кур'єр, велокур'єр (Шевченківський, Лук'янівська, Подільський р-н)"
4448090,Менеджер з продажу
4300190,Менеджер-оператор на прием заявок клиентов
2794256,Водитель со своим авто
4639813,Менеджер по работе с клиентами
3989801,"Методист, старший преподаватель английского языка"
3993237,Агроном
4564941,Менеджер в отдел Housekeeping
4639797,Менеджер по продажам (В2В)
4299119,Продавець-консультант
4328157,Продавец-консультант (Академгородок)
4328167,"Продавець-консультант (Оболонь, ст. м. Героїв Дніпра)"
4639770,Графический дизайнер
4639768,Менеджер підтримки клієнтів
2674473,Водитель со своим автомобилем в службу доставки ресторана
3979965,Продакт-менеджер (ОТС) у Вишневе
4349880,"Продавець-консультант у ""Французький Бульвар"""
4448503,Лідогенератор (пошук інформації про клієнтів)
4639732,Территориальный менеджер
4639710,Начальник відділу зовнішньоекономічної діяльності
4639707,"Рекрутер, специалист по подбору персонала"
4639700,Продавец-консультант украшений
4590335,Копирайтер
4639642,"Кухар, сендвіч-мейкер"
4639640,Продавец-консультант (правый берег)
4364611,Автомаляр
4411429,Recruiter
4236327,Архитектор-дизайнер
4639608,Продавец-консультант парфюмерии
4639596,Бухгалтер
4639591,Кур'єр (Подільський р-н)
4519901,Продавець-касир (ст. м. Святошин)
4639588,Кур'єр (Солом'янський р-н)
4639586,Кур'єр (Голосіївський р-н)
4639584,Менеджер з обробки зображень (студент)
4639581,Кур'єр (Святошинський р-н)
4639580,Кур'єр (Оболонський р-н)
